"estacion","sal_mor","lleg_mor","sal_mid","lleg_mid","sal_tar","lleg_tar","sal_noc","lleg_noc","distancia","dur_via","edades","prop"
28,666,787,819,697,664,469,85,84,2.1705506993007,10.7381993006993,36.8678534031414,0.222198952879581
29,712,429,509,739,321,1406,90,196,2.62627656298121,14.7105020018479,34.3538961038961,0.274637127578304
30,199,410,477,568,365,432,156,106,1.95616836734694,10.9581632653061,35.4868306801737,0.241678726483357
31,607,440,607,688,562,1031,231,112,2.28353214285714,10.3621428571429,33.3722517058378,0.253411675511751
32,810,520,490,500,571,487,132,127,1.75749608763693,9.50495565988524,35.4259910860896,0.217452498240676
33,300,359,297,443,288,350,129,116,1.8100397181294,9.64125560538117,35.2934513274336,0.261592920353982
34,687,364,360,406,305,462,137,153,1.76491028708134,10.0604066985646,34.3120046962137,0.219254476078662
35,839,390,353,402,298,555,156,190,1.65757906215921,9.07851690294438,33.6831210191083,0.177016985138004
36,1144,1069,1029,926,1115,975,274,227,1.69404355812123,9.615324061926,35.1323565929973,0.290911348398311
37,424,364,398,379,367,376,113,149,1.66491602067183,9.81524547803618,34.3092848180678,0.297051442910916
38,457,556,568,612,562,513,130,145,1.63425422138837,9.09568480300188,37.0338491295938,0.218568665377176
39,352,319,398,317,323,254,101,97,1.75076003415884,10.0145175064048,33.9373784519642,0.334889148191365
40,301,188,268,291,277,285,51,69,1.6584011627907,11.1511627906977,35.5986779981114,0.159112370160529
41,1680,304,805,622,732,953,177,180,2.47571407072987,15.4909706546275,35.4852079671939,0.284563561804335
42,417,259,333,320,330,348,89,110,1.85355125100888,10.3688458434221,35.0853333333333,0.267428571428571
43,483,359,606,798,537,1011,151,199,2.95063560540696,17.8567730802416,35.7965374841169,0.304955527318933
44,355,322,436,416,399,281,92,86,1.31250191277735,9.82555470543229,37.1673097158892,0.374254647492108
45,491,763,719,603,582,395,94,118,1.31452534562212,8.79493087557604,37.8814058956916,0.270975056689342
46,438,642,802,879,688,664,120,96,1.56289782840869,9.63510145959416,35.8911002628614,0.301351858805858
47,399,649,783,875,618,486,131,111,1.62538545853124,10.2546583850932,34.7453428077588,0.325139235644325
48,290,157,278,328,172,246,43,56,2.14246865959499,14.4995178399229,36.3328373015873,0.230654761904762
49,505,358,606,631,477,471,149,152,1.33387002909796,9.83123181377304,37.2726638772664,0.318688981868898
50,388,339,386,392,301,293,75,66,1.2270938215103,8.83142639206712,39.1891891891892,0.309144761199556
51,349,573,886,924,723,602,107,73,1.54127994279585,9.07758312477655,36.4897544766476,0.28152113716079
52,240,114,217,271,182,336,67,72,2.78199810606061,18.9469696969697,36.2145728643216,0.247738693467337
53,654,554,738,748,614,690,180,200,1.52307477288609,9.8151642208246,35.9874867818118,0.36852308776877
54,449,485,556,531,495,507,156,129,1.51033956692913,11.1564960629921,35.3065228052967,0.308974987739088
55,113,296,324,480,291,373,67,68,3.36848920863309,19.4058752997602,35.0544069640914,0.271672107363076
56,449,556,534,550,489,417,160,152,1.58025515210991,9.78900883218842,34.4800099950025,0.267616191904048
57,414,264,346,347,283,248,57,83,1.33526220614828,8.94665461121157,35.6454018227009,0.388152444076222
58,391,332,424,412,315,357,136,131,1.31030934343434,10.7531565656566,37.4291068082448,0.359775140537164
59,358,480,528,526,407,469,181,120,1.46721844660194,9.10582524271845,36.1860406091371,0.317766497461929
60,476,307,516,479,389,464,82,133,1.44270689655172,10.2270114942529,36.3638648422228,0.392069254398213
61,577,584,648,659,520,588,173,133,1.35489151873767,11.0974358974359,36.6568607696957,0.352206326818457
62,315,296,251,310,239,280,40,65,1.36909710391823,9.00851788756388,37.2826871055005,0.328223624887286
63,530,674,891,719,736,526,199,188,1.52600157728707,9.53312302839117,34.2033993276055,0.302577512140456
64,908,983,990,1093,960,1252,374,243,1.52314572425829,9.07329842931937,35.0753448079334,0.31163798016642
65,232,203,194,264,152,237,28,31,2.88921568627451,18.250773993808,35.6997150997151,0.255840455840456
66,534,462,662,683,520,521,137,158,1.53618666666667,9.95022222222222,35.482607744476,0.338219208050755
67,360,369,497,497,368,449,95,141,1.52063263041065,9.79522752497225,35.7639733565016,0.310454677092383
68,307,450,471,557,398,522,168,166,1.43011921137093,9.88950022925264,35.5614651279478,0.303562468640241
69,434,434,460,526,472,516,167,119,1.52476424361493,9.6483300589391,35.2341820015125,0.309805898663978
70,411,441,518,531,407,536,143,112,1.53007092198582,12.334219858156,35.5832744405183,0.36489988221437
71,346,477,618,640,549,602,204,179,1.27379928315412,8.65352449223417,35.9562966031483,0.323115161557581
72,422,261,377,451,377,407,75,140,1.67629104958146,10.6084996780425,33.8186795491143,0.340096618357488
73,485,390,541,553,447,454,130,194,1.51769832985386,10.2703549060543,35.7838742916023,0.288253477588872
74,678,733,975,943,666,575,170,196,1.44205025125628,8.88040201005025,35.1755610972569,0.310889443059019
75,378,257,313,339,310,394,100,105,1.53681660899654,10.159169550173,36.8236514522822,0.291147994467497
76,430,219,323,336,285,375,83,102,1.55462471569371,9.71645185746778,36.4949531362653,0.293078586878154
77,579,298,414,369,422,418,146,106,1.65612637362637,9.16483516483516,34.1213942307692,0.26953125
78,360,182,431,527,386,531,118,93,1.74130259365994,10.4103746397695,35.8541912632822,0.342089728453365
79,285,290,415,421,386,324,67,106,1.74615273775216,10.014409221902,35.7875222816399,0.35650623885918
80,493,385,480,621,339,491,90,115,1.52885033661315,10.008803728638,36.9503585217871,0.298952013237728
81,233,202,319,338,223,306,69,60,1.52256267409471,10.2590529247911,37.3219769673704,0.263915547024952
82,240,307,449,477,286,261,52,32,2.75845986984816,16.3152566883586,36.9035608308605,0.242210682492582
83,339,356,377,403,279,358,85,89,1.70856858846918,9.27501656726309,36.9749313186813,0.302197802197802
84,786,412,646,586,558,709,176,205,1.6210841283608,9.55724197745013,34.9359445124439,0.234394124847001
85,1071,701,869,690,594,490,203,266,2.36450987700335,12.1721953037644,35.1783729156139,0.168098366178204
86,1300,489,525,491,391,655,162,182,1.97653136531365,9.78966789667897,34.0259004451639,0.222581950627276
87,161,378,534,565,375,402,77,91,2.88721933471933,17.6112266112266,35.8708202343527,0.258073735352958
88,42,187,170,258,146,139,22,15,2.70417982989064,18.1142162818955,35.4878419452888,0.268237082066869
89,57,108,172,206,130,107,43,24,3.28799072642968,20.3570324574961,36.375,0.282284768211921
90,97,175,252,337,165,181,41,27,2.84907756813417,19.793501048218,36.9145248057382,0.254632396891811
91,81,48,119,109,54,100,15,40,3.39751243781095,17.7338308457711,33.6688227684347,0.25614489003881
92,50,90,115,110,85,70,6,25,4.18173076923077,16.3901098901099,35.1428571428571,0.224893917963225
93,89,86,92,92,71,64,4,30,2.97946175637394,17.4730878186969,39.3612334801762,0.292217327459618
94,23,35,27,29,43,23,14,17,2.63774436090226,17.4586466165414,35.4317343173432,0.365313653136531
95,20,80,152,218,101,114,25,8,3.23190476190476,16.8994708994709,36.1243830207305,0.261599210266535
96,204,185,337,449,180,256,39,59,3.21635627530364,15.0453441295547,36.2678492239468,0.182261640798226
97,31,15,79,72,88,61,6,6,2.76405857740586,19.1966527196653,36.8766859344894,0.289017341040462
98,61,51,118,112,40,53,5,19,2.63076923076923,14.5128205128205,36.1010248901903,0.297218155197657
99,103,92,227,281,55,97,14,35,2.39976599063963,13.0514820592824,37.9568527918782,0.230964467005076
100,45,25,59,60,28,74,8,12,3.3871186440678,19.4279661016949,33.7522935779817,0.284403669724771
101,38,18,50,90,35,58,17,28,2.56245353159851,16.8587360594796,34.9221052631579,0.277894736842105
102,48,23,55,54,43,58,13,38,3.21087866108787,17.652719665272,31.5641592920354,0.232300884955752
104,85,65,124,112,112,114,47,49,3.352466367713,16.5224215246637,36.0608695652174,0.218478260869565
105,64,49,78,61,43,73,13,14,3.15666666666667,16.6833333333333,34.4202898550725,0.211180124223602
106,140,71,110,137,94,162,28,54,2.65348571428571,19.3238095238095,33.9233870967742,0.233870967741935
107,145,111,121,163,91,177,51,40,2.62621908127208,11.2685512367491,36.1203438395415,0.250238777459408
108,298,181,184,195,150,197,48,28,4.45634328358209,12.1641791044776,35.7479281767956,0.287292817679558
109,84,68,92,95,32,86,6,21,2.91363636363636,17.0876623376623,35.6654611211573,0.301989150090416
110,41,64,51,59,38,54,14,17,2.82827868852459,17.4877049180328,34.2764976958525,0.165898617511521
112,212,73,164,165,107,218,33,71,2.48946608946609,13.1053391053391,35.4295154185022,0.298825256975037
113,213,183,169,162,136,148,42,46,2.51917591125198,10.4944532488114,37.2467232074017,0.268311488049345
114,121,58,136,111,68,88,29,36,2.23832891246684,10.7427055702918,35.4804270462633,0.2858837485172
115,214,243,318,272,198,175,61,50,2.25806636155606,11.3638443935927,35.3639380530973,0.294800884955752
116,259,206,355,371,216,347,71,102,2.34241960183767,10.3384379785605,35.9222672064777,0.271255060728745
117,112,145,223,252,195,189,84,46,2.24797453703704,10.9027777777778,33.5954922894425,0.260379596678529
118,213,185,206,189,155,145,25,50,2.08668154761905,10.6220238095238,34.82661004954,0.292993630573248
119,237,81,248,289,156,231,37,99,2.28207762557078,11.1130136986301,34.3206583427923,0.195232690124858
120,171,137,153,115,110,150,34,33,3.33118908382066,11.187134502924,33.4838709677419,0.247004608294931
121,207,202,270,222,185,131,48,32,2.76925820256776,11.5392296718973,36.2283515073765,0.248877485567672
122,173,69,136,85,47,102,11,21,2.69706790123457,14.6913580246914,34.6140350877193,0.245614035087719
123,165,139,223,184,115,151,70,42,2.30728314238953,12.0671031096563,34.9348837209302,0.195348837209302
124,253,142,175,146,70,170,29,51,2.23209570957096,12.9884488448845,36.722131147541,0.166393442622951
125,267,117,264,269,201,246,98,96,2.36765676567657,12.1529152915292,33.6733333333333,0.228205128205128
126,189,227,225,230,213,216,52,65,2.03011917659805,8.89490790899242,36.2094479225953,0.289129197495731
127,173,122,182,157,194,228,65,85,2.32115646258503,10.3591836734694,32.2517845554835,0.132381570408825
128,186,268,291,314,254,219,70,76,2.43263392857143,11.4410714285714,35.8655660377358,0.294339622641509
129,135,165,214,186,137,126,60,24,2.25119236883943,10.0524642289348,34.4264264264264,0.294294294294294
130,155,83,174,205,141,200,47,54,2.33084319526627,10.7440828402367,35.2731376975169,0.303235515425132
131,115,178,205,213,186,157,41,38,2.73534391534392,11.4986772486772,35.3764705882353,0.327335640138408
132,151,131,151,203,107,146,37,33,1.97723765432099,10.8827160493827,33.5792988313856,0.30550918196995
133,123,70,106,152,103,164,42,81,2.14116279069767,11.9457364341085,35.7632687447346,0.28390901432182
134,316,483,519,605,485,548,218,177,2.17791397849462,11.7182795698925,34.3808748255002,0.319218241042345
135,246,112,154,175,158,252,50,89,1.89600706713781,12.1401648998822,35.0903110047847,0.342703349282297
136,267,302,369,409,372,361,134,84,2.40989159891599,10.8265582655827,34.9983125210935,0.320283496456294
137,207,159,307,325,230,372,121,114,2.0205772113943,11.4827586206897,35.3087008343266,0.299960270162892
138,182,73,175,162,74,177,16,57,2.24147959183673,11.9251700680272,36.6469565217391,0.394782608695652
139,313,264,294,332,260,334,88,94,2.15078125,10.628125,34.5133839392729,0.318817419097083
140,188,107,185,205,143,191,37,52,1.78028909329829,11.1655716162943,35.5144167758847,0.334862385321101
141,287,344,366,380,331,376,108,128,2.32381674757282,10.9368932038835,34.0916613621897,0.334182049649905
142,237,194,210,237,174,246,86,78,1.93784584980237,9.88735177865613,34.2503793626707,0.292362164896308
143,231,94,155,181,131,220,42,76,1.71377118644068,11.6652542372881,36.0480836236934,0.266898954703833
144,200,83,134,197,99,241,36,67,2.06230769230769,11.8237762237762,34.1772345301757,0.257448433919022
145,311,168,308,331,230,331,86,120,1.73869243421053,9.39391447368421,35.4491456468674,0.313262815296989
146,375,291,378,471,358,474,165,88,2.16811836962591,10.8246789503071,36.3430804863926,0.327446438911407
147,161,92,136,137,117,117,24,50,2.27617586912065,10.519427402863,35.3192307692308,0.299038461538462
148,194,111,144,142,123,116,46,45,1.53067484662577,9.49897750511247,36.9417562724014,0.278673835125448
149,171,174,227,219,126,206,74,57,1.44515938606848,9.55489964580874,36.0980271270037,0.221948212083847
150,218,170,289,331,187,311,67,86,1.61707413249211,11.1119873817035,35.330184628596,0.302705023615286
151,233,120,165,189,115,185,48,62,2.08791666666667,10.1805555555556,36.4226231783484,0.307425399028452
152,110,117,138,125,136,122,51,23,1.61410788381743,9.96680497925311,34.8969873663751,0.276967930029155
153,182,86,158,174,145,153,42,88,1.80745192307692,10.6923076923077,32.8542791056284,0.371626831148805
154,182,149,186,147,177,130,57,35,1.80834829443447,8.55834829443447,35.0715384615385,0.212307692307692
155,230,139,189,205,131,231,43,97,2.17982658959538,9.9364161849711,36.5358217940999,0.260084286574353
156,153,85,89,120,105,95,17,50,2.26822125813449,9.73101952277657,33.817494600432,0.374730021598272
157,34,94,91,93,58,87,31,15,2.04,9.9541547277937,36.0278232405892,0.243862520458265
158,374,314,255,249,263,419,90,63,4.10423728813559,11.1425269645609,34.5606299212598,0.251181102362205
159,74,114,118,117,104,209,26,24,2.50474576271186,12.6949152542373,34.3058013765978,0.225172074729597
160,319,110,203,244,152,288,24,70,4.3613662456946,13.4867967853042,34.7364475201845,0.219146482122261
161,157,58,114,96,87,133,20,33,2.99848484848485,13.3030303030303,35.7033542976939,0.336477987421384
162,224,106,151,161,127,199,37,106,2.81211484593838,11,34.7703383729302,0.218142548596112
163,183,182,236,318,214,383,77,95,2.86025437201908,11.1303656597774,33.9331550802139,0.249554367201426
164,267,138,190,231,175,283,46,85,3.23311617806732,12.6275787187839,35.382618510158,0.280474040632054
165,282,109,228,200,144,252,42,89,3.5292514619883,11.0222222222222,34.4018058690745,0.272009029345372
166,164,105,137,113,118,133,26,34,2.32735470941884,11.3527054108216,36.8512014787431,0.251386321626617
167,159,84,113,80,100,107,52,53,2.19733796296296,10.4050925925926,32.4153386454183,0.250996015936255
168,113,72,102,144,65,141,23,30,2.64048076923077,15.0769230769231,34.8701973001038,0.322949117341641
169,240,104,168,205,117,305,34,65,2.89005649717514,12.5853107344633,33.6604002425713,0.358399029714979
170,96,67,83,95,65,111,18,54,3.01344827586207,13.5632183908046,35.6111801242236,0.258385093167702
171,111,41,85,114,87,160,33,41,2.96867469879518,12.5261044176707,33.3611404435058,0.27455121436114
172,149,52,130,136,68,146,30,52,4.71583665338645,12.902390438247,35.3761283851555,0.300902708124373
173,259,64,143,132,128,212,48,90,2.54537313432836,13.6149253731343,31.4514325646401,0.248777078965758
174,430,194,269,432,211,630,161,149,3.8644581861013,10.9151943462898,34.3840886860124,0.180632539941311
175,244,172,244,233,232,241,51,99,2.79567567567568,13.1611226611227,35.5293517100562,0.265952016334865
176,57,49,92,72,72,73,14,21,1.93070175438597,10.6350877192982,37.1636060100167,0.260434056761269
177,108,106,118,94,68,68,16,12,2.49433544303797,9.71518987341772,34.1227810650888,0.270710059171598
178,132,84,115,152,95,154,22,41,2.72653631284916,10.804469273743,36.7978303747535,0.261341222879684
179,191,110,251,203,199,187,69,61,2.50998540145985,12.1503649635036,34.2008733624454,0.280099812850905
180,232,158,191,192,158,241,47,63,2.64285714285714,12.0726600985222,33.2190237797247,0.337922403003755
181,166,67,138,153,142,193,22,37,4.18290676416819,10.7513711151737,34.5285338015803,0.337137840210711
182,241,366,348,321,382,390,100,84,3.07171052631579,15.8801169590643,33.8679316888046,0.247058823529412
183,414,142,230,292,163,383,44,127,3.86383248730964,11.0186125211506,35.6433318564466,0.2512184315463
184,137,96,130,126,94,99,17,27,2.67408256880734,12.7178899082569,36.2256297918949,0.233296823658269
185,161,191,200,190,159,170,46,56,2.93843031123139,11.786197564276,34.6680272108844,0.246938775510204
186,101,79,111,100,103,97,23,32,2.78709677419355,11.6451612903226,34.9687137891078,0.25260718424102
187,192,96,168,197,140,204,22,48,2.45770682148041,11.6531204644412,36.9497784342688,0.216395864106352
188,92,89,74,59,88,69,28,4,2.30262237762238,11.541958041958,35.0047619047619,0.222222222222222
189,112,68,69,90,65,69,12,23,2.86277777777778,13.5246913580247,39.8432267884323,0.301369863013699
190,171,137,224,204,202,246,57,79,3.62640552995392,11.1820276497696,35.8853503184713,0.269832078749276
191,166,116,157,146,162,95,24,49,3.80323943661972,14.1810865191147,33.8503584229391,0.237455197132616
