"estacion","sal_mor","lleg_mor","sal_mid","lleg_mid","sal_tar","lleg_tar","sal_noc","lleg_noc","distancia","dur_via","edades","prop"
110,49,79,59,67,49,75,16,20,2.81030927835052,18.0171821305842,34.2882352941176,0.158823529411765
112,828,296,621,698,387,809,107,258,2.44154338264694,12.8296681327469,34.6807637035516,0.231985218640936
113,743,645,568,544,510,555,126,143,2.56153668666359,11.2196585140748,37.1246899661781,0.323788049605412
114,523,240,447,413,342,392,98,160,2.25501706484642,11.1699658703072,34.1784925890886,0.260170293282876
115,853,1055,1189,1054,856,723,166,175,2.24096385542169,10.8974434322656,36.3451622247972,0.278389339513326
116,960,730,1168,1247,869,1376,296,408,2.23402476107732,10.6442224152911,35.9904794677678,0.271392521220463
117,512,614,749,783,691,679,359,230,2.26824348446983,10.7754373438058,33.5641711229947,0.231550802139037
118,920,747,826,724,650,681,159,207,2.06243513713862,10.8747220163084,35.0296335262143,0.275469051376469
119,276,98,286,321,182,276,47,122,2.27102615694165,11.2525150905433,34.3030607124937,0.194681384846964
120,723,529,504,466,456,617,146,206,3.25510628465804,10.895101663586,34.0029491833031,0.247277676950998
121,711,775,754,680,622,561,174,114,2.89855653568565,10.8913392141139,35.563069172641,0.286378608796745
122,576,294,474,411,190,389,53,87,2.8244966442953,15.7882177479493,34.6792992491956,0.237397211297819
123,824,475,685,668,489,683,219,218,2.38897554806071,13.29173693086,34.3687928946306,0.250908356883327
124,1051,494,645,637,250,785,128,219,2.21742798353909,13.8522633744856,36.4462758189026,0.174421030669727
125,921,435,859,915,682,1036,307,373,2.27880516361453,12.8889222455719,34.0537282333681,0.274296770352731
126,407,471,452,470,477,468,151,152,1.98272921108742,8.82569296375267,35.5149945474373,0.321973827699019
127,376,256,364,303,432,456,133,200,2.34799456152277,10.9857239972808,32.1383668178872,0.139662994167207
128,1139,1393,1391,1622,1420,1440,389,439,2.56290322580645,12.419187698479,34.865667671573,0.292693740024827
129,303,351,434,337,314,327,150,68,2.21821241585639,10.0359012715034,34.5826548672566,0.291681415929204
130,403,231,330,420,329,453,96,147,2.34420980926431,11.0435967302452,34.9068125661843,0.296858453935757
131,284,449,474,488,406,382,98,81,2.67513189448441,11.3932853717026,35.5246991766941,0.327422419252692
132,340,341,336,444,253,401,103,98,1.92333984375,11.13671875,33.625678119349,0.299819168173599
133,286,141,219,314,197,335,86,180,2.05100154083205,11.846687211094,36.1970526315789,0.297684210526316
134,731,999,1131,1319,1066,1104,454,360,2.13267708110422,11.6068906484057,34.3472034280559,0.318110058637799
135,602,241,397,400,342,618,128,210,1.89690412426352,12.3229780396358,34.664798505471,0.346677341873499
136,598,685,850,865,811,801,263,184,2.33157640232108,10.9500322372663,34.9117741935484,0.32758064516129
137,552,413,673,730,512,742,252,275,1.99845100864553,11.7301873198847,34.9939781708694,0.283590515619119
138,417,136,345,323,174,412,44,139,2.19694557270512,12.0219333874898,36.6548890714873,0.375924404272802
139,744,500,610,777,557,733,190,204,2.18624226006192,10.8622291021672,34.2970140399446,0.301562191022345
140,365,230,357,373,278,379,78,103,1.76786226685796,11.0824964131994,35.6998204667864,0.312028725314183
141,656,835,838,869,702,860,258,280,2.31666666666667,10.8187429854097,33.8890388364073,0.323736692157745
142,529,400,494,499,386,561,227,164,1.87970660146699,10.0322738386308,34.5096130445364,0.308834266244828
143,510,190,354,421,286,489,99,176,1.69803464357095,12.0486342438374,36.7112211221122,0.28019801980198
144,396,175,287,375,197,482,72,157,1.98632867132867,11.8559440559441,34.3773440489858,0.266743207041715
145,639,350,649,643,463,747,166,244,1.7788029925187,9.71113881961762,35.4542224080268,0.317307692307692
146,868,619,809,933,754,1080,341,198,2.11835336874476,10.7892088342186,36.1114908158906,0.331909440410081
147,321,195,307,310,236,271,82,103,2.03274714828897,10.4496197718631,34.3878103837472,0.322799097065463
148,390,276,339,275,268,216,113,65,1.50514705882353,9.66176470588235,36.9148841354724,0.308377896613191
149,300,378,471,447,286,401,158,105,1.46177191906806,9.75475168608216,36.1643835616438,0.205160879260911
150,455,315,564,653,348,641,121,182,1.68250868055556,11.6775173611111,35.0269121813031,0.293201133144476
151,537,240,403,448,257,397,96,142,1.94719576719577,10.5006613756614,36.2680878552972,0.283914728682171
152,218,209,310,286,281,246,108,68,1.61971252566735,10.4620123203285,35.2339924670433,0.27165725047081
153,438,201,330,384,322,365,110,176,1.75895802098951,11.0509745127436,33.8007207207207,0.322522522522523
154,370,313,439,326,429,251,142,61,1.78162162162162,8.86666666666667,34.4847482543183,0.240720323410511
155,567,266,416,443,313,518,74,222,2.02025423728814,10.0796610169492,35.695777075553,0.268026429187015
156,303,175,224,232,217,228,39,118,2.08346362649294,9.61672095548317,33.630539241858,0.365189535504538
157,87,234,169,207,139,195,68,34,1.86779792746114,9.6619170984456,35.8803680981595,0.269171779141104
158,576,528,435,420,486,742,153,107,4.04586587046394,11.4313275149288,34.529873839562,0.26041418709831
159,277,359,301,309,295,496,101,56,2.25516062884484,12.2706766917293,34.2151755379388,0.25443563608909
160,399,129,257,314,186,364,28,83,4.33236415633937,13.4938036224976,34.8200575815739,0.220249520153551
161,380,126,222,199,207,330,57,77,2.90532030401737,13.8393051031488,35.4467558197127,0.348192174343735
162,517,210,272,310,252,427,67,216,2.71819505094614,11.4395924308588,34.9736157562245,0.224823485693051
163,475,418,450,599,420,751,153,185,2.84368852459016,11.0922131147541,34.3361459521095,0.229190421892816
164,554,302,410,461,426,554,89,163,3.28967452300786,13.3641975308642,35.6956276445698,0.273624823695346
165,620,209,443,425,318,557,91,219,3.3973756432247,11.3104631217839,34.4,0.281327800829876
166,186,121,162,137,146,161,31,41,2.37160278745645,11.588850174216,36.7623282134196,0.25141471301536
167,187,94,141,107,137,150,63,73,2.20018796992481,10.5657894736842,32.4039735099338,0.249172185430464
168,127,81,124,171,82,175,29,39,2.65242070116861,14.9983305509182,34.8719346049046,0.328792007266122
169,292,129,205,256,155,378,46,97,2.89896810506567,12.6013133208255,33.4713052310818,0.350939563230066
170,106,73,93,109,73,130,23,64,3.01167355371901,13.6652892561983,35.3866967305524,0.257046223224352
171,132,52,104,145,109,208,38,47,3,12.6616161616162,33.4675675675676,0.284684684684685
172,175,61,159,170,83,180,39,64,4.71531302876481,12.9340101522843,35.6137339055794,0.314163090128755
173,314,83,170,160,168,262,61,103,2.55294871794872,13.4782051282051,31.4785202863962,0.252386634844869
174,547,251,336,488,248,770,195,190,3.88160660660661,10.8793793793794,34.2661512976256,0.177526228602982
175,302,221,321,303,294,288,66,125,2.77247833622184,13.0277296360485,35.3072365636902,0.261955141768938
176,69,65,119,94,85,94,20,25,2.05977011494253,10.7586206896552,36.7319444444444,0.258333333333333
177,120,120,145,113,87,81,25,13,2.4866391184573,9.73829201101928,33.9696202531646,0.268354430379747
178,161,105,154,182,117,183,28,52,2.6953025477707,10.7643312101911,36.5020815986678,0.264779350541216
179,230,131,302,249,261,227,85,72,2.4906592039801,12.136815920398,34.0476190476191,0.284126984126984
180,271,183,232,223,195,293,69,87,2.62976694915254,12.1207627118644,33.0144462279294,0.34242910647405
181,224,85,178,200,192,244,33,46,4.14940476190476,10.8422619047619,34.6212227687983,0.330990864371047
182,295,438,442,388,475,475,115,102,3.08770186335404,15.9509316770186,33.9269071177785,0.244174912224705
183,502,169,291,361,216,475,52,167,3.87478723404255,11.3141843971631,35.534693877551,0.250092764378479
184,169,111,162,150,115,124,22,36,2.69724950884086,12.7681728880157,36.1598513011152,0.232342007434944
185,187,227,242,221,200,217,57,64,2.92839721254355,11.7642276422764,34.6571261682243,0.261682242990654
186,134,100,140,134,127,117,33,47,2.8498985801217,11.9310344827586,34.9771210676835,0.263107721639657
187,237,120,200,236,181,251,32,71,2.41124087591241,11.485401459854,36.9517027863777,0.213622291021672
188,111,103,91,75,105,88,34,7,2.25369822485207,11.5739644970414,34.8137651821862,0.203778677462888
189,132,84,81,102,80,93,13,25,2.90896825396825,13.6719576719577,39.4782608695652,0.310935441370224
190,210,154,259,227,237,288,78,96,3.59285123966942,11.2365702479339,35.7818088911599,0.268267756770567
191,200,139,196,178,197,115,30,64,3.88597955706985,14.236797274276,33.7030303030303,0.246212121212121
192,2102,2013,1172,1097,2228,1917,313,173,3.53139413906711,15.4680076296168,34.0876859504132,0.280330578512397
193,1202,904,672,572,1088,740,135,53,2.72210388639761,16.0295216741405,34.5280753002272,0.292112950340798
194,1276,1185,1135,1009,1139,1030,186,107,3.86433450859409,14.9175848391362,35.1747799342454,0.329197157704953
195,172,148,207,181,167,113,23,8,4.44293831168831,16.4025974025974,34.4324723247232,0.348339483394834
196,163,410,357,355,439,228,37,53,2.67331365935919,11.8659359190556,34.7,0.232900432900433
197,264,529,457,376,501,277,77,44,2.61477190441709,14.3548153511948,34.8119122257053,0.244165795889934
198,499,1150,819,667,939,472,112,47,1.80936758893281,12.9237154150198,36.1431657501964,0.295954438334643
199,441,954,776,677,863,389,54,31,1.88393994540491,11.0855323020928,35.3308888888889,0.268
200,686,849,849,666,749,462,105,94,2.63785652549698,11.3867761452031,33.9090909090909,0.37636761487965
201,433,972,770,719,829,389,167,84,3.11778063410454,12.4494430162811,33.8842416561048,0.227714406421631
202,520,1274,939,910,787,545,229,97,2.34195659112672,9.37025215448452,35.1807776468608,0.323851203501094
203,685,390,576,542,517,487,77,73,2.15284791544334,10.7833235466823,35.3740837696335,0.259685863874346
204,950,405,754,778,487,856,64,95,2.13383629599008,10.1252583712278,35.259067357513,0.316261458748505
205,702,900,1035,1072,962,841,133,138,2.61789288849868,12.6795434591747,35.0317317766801,0.28319113905104
206,802,1702,1744,1559,2004,1188,321,167,1.73306451612903,11.5661846496107,33.8697192695557,0.255655491959662
207,583,832,786,933,787,855,90,136,3.10067007019783,11.1573069559668,35.0933380207418,0.250834944629988
208,3171,1020,1413,1644,1139,3167,363,535,1.85442138185954,10.0814614728462,33.9237540923972,0.210040014550746
209,701,1648,1033,901,1509,596,191,143,1.6939515909709,13.9692684253467,36.5256582482536,0.29540569586244
210,1960,806,757,751,698,1379,186,129,1.45339594514013,9.94991055456172,34.4237126075673,0.299002868460593
211,2893,872,1478,1667,1170,2590,353,434,2.38900902327054,10.1431059047016,34.7232878822895,0.256451737154302
212,1303,585,898,1079,789,1038,123,164,2.7829589122081,12.2373632870234,35.0766928011404,0.28496079828938
