cust_id,bike,date_removed,station_removed,date_arrived,station_arrived,action
919,681,2010-02-19 14:46:00,85,2010-02-19 14:47:00,85,C  
238,784,2010-02-19 14:52:00,23,2010-02-19 14:59:00,56,A  
486,478,2010-02-19 15:04:00,20,2010-02-19 20:10:00,34,A  
923,873,2010-02-19 15:06:00,19,2010-02-19 15:21:00,20,A  
519,81,2010-02-19 15:29:00,78,2010-02-19 15:50:00,5,A  
249,338,2010-02-19 15:30:00,78,2010-02-19 15:34:00,78,A  
900,780,2010-02-19 15:31:00,24,2010-02-19 15:46:00,26,A  
223,263,2010-02-19 15:40:00,50,2010-02-19 16:06:00,63,A  
665,302,2010-02-19 16:13:00,63,2010-02-19 16:40:00,55,A  
943,525,2010-02-19 16:16:00,85,2010-02-19 16:18:00,85,C  
941,681,2010-02-19 16:19:00,85,2010-02-19 16:26:00,17,A  
592,564,2010-02-19 16:29:00,25,2010-02-19 16:32:00,26,A  
948,547,2010-02-19 16:31:00,85,2010-02-19 16:38:00,5,A  
547,849,2010-02-19 16:38:00,63,2010-02-19 16:56:00,78,A  
948,531,2010-02-19 16:49:00,5,2010-02-19 16:49:00,5,C  
948,826,2010-02-19 16:49:00,5,2010-02-19 16:50:00,5,C  
693,475,2010-02-19 16:53:00,49,2010-02-19 17:04:00,44,A  
900,18,2010-02-19 17:11:00,34,2010-02-19 17:19:00,24,A  
70,525,2010-02-19 17:13:00,85,2010-02-19 17:36:00,72,A  
249,21,2010-02-19 17:14:00,34,2010-02-19 17:20:00,25,A  
636,324,2010-02-19 17:29:00,12,2010-02-19 17:48:00,76,A  
964,687,2010-02-19 17:41:00,27,2010-02-19 17:48:00,27,A  
965,688,2010-02-19 17:41:00,27,2010-02-19 17:43:00,27,A  
82,546,2010-02-19 17:41:00,76,2010-02-19 17:57:00,72,A  
347,451,2010-02-19 17:43:00,17,2010-02-19 17:50:00,34,A  
81,544,2010-02-19 17:44:00,76,2010-02-19 17:56:00,72,A  
965,568,2010-02-19 18:04:00,26,2010-02-19 18:35:00,34,A  
547,701,2010-02-19 18:10:00,66,2010-02-19 18:14:00,78,A  
547,206,2010-02-19 18:15:00,78,2010-02-19 18:15:00,78,C  
547,203,2010-02-19 18:15:00,78,2010-02-19 18:16:00,78,C  
636,9,2010-02-19 18:26:00,80,2010-02-19 18:44:00,16,A  
971,291,2010-02-19 18:27:00,8,2010-02-19 18:30:00,16,A  
736,613,2010-02-19 18:42:00,20,2010-02-19 19:27:00,34,A  
822,527,2010-02-19 18:45:00,74,2010-02-19 18:49:00,74,A  
971,412,2010-02-19 18:55:00,16,2010-02-19 19:17:00,85,A  
943,603,2010-02-19 18:55:00,16,2010-02-19 19:17:00,85,A  
822,439,2010-02-19 19:01:00,74,2010-02-19 19:05:00,83,A  
822,798,2010-02-19 19:06:00,83,2010-02-19 19:10:00,83,A  
822,884,2010-02-19 19:11:00,83,2010-02-19 19:14:00,83,A  
849,236,2010-02-19 19:32:00,13,2010-02-19 19:54:00,27,A  
736,477,2010-02-19 19:54:00,20,2010-02-19 20:00:00,85,A  
82,765,2010-02-19 19:54:00,72,2010-02-19 20:12:00,76,A  
81,691,2010-02-19 20:00:00,72,2010-02-19 20:12:00,76,A  
521,496,2010-02-19 20:01:00,34,2010-02-19 20:16:00,83,A  
956,555,2010-02-19 20:21:00,12,2010-02-19 20:40:00,12,A  
941,618,2010-02-19 20:39:00,17,2010-02-19 20:40:00,17,C  
941,107,2010-02-19 20:40:00,17,2010-02-19 20:47:00,31,A  
353,486,2010-02-19 20:50:00,17,2010-02-19 20:59:00,20,A  
